"FECHA_SINTOMAS","n"
"2021-10-14","18679"
"2021-10-15","22562"
"2021-10-16","17324"
"2021-10-17","17543"
"2021-10-18","24844"
"2021-10-19","21161"
"2021-10-20","22922"
"2021-10-21","17160"
"2021-10-22","18922"
"2021-10-23","16046"
"2021-10-24","15985"
"2021-10-25","23307"
"2021-10-26","17880"
"2021-10-27","16256"
"2021-10-28","15707"
"2021-10-29","15227"
"2021-10-30","13783"
"2021-10-31","13945"
"2021-11-01","23064"
"2021-11-02","16387"
"2021-11-03","18766"
"2021-11-04","17300"
"2021-11-05","18312"
"2021-11-06","15482"
"2021-11-07","16320"
"2021-11-08","20666"
"2021-11-09","17756"
"2021-11-10","18247"
"2021-11-11","14557"
"2021-11-12","14377"
"2021-11-13","11915"
"2021-11-14","13342"
"2021-11-15","18269"
"2021-11-16","17496"
"2021-11-17","16586"
"2021-11-18","15595"
"2021-11-19","16572"
"2021-11-20","19046"
"2021-11-21","15790"
"2021-11-22","18668"
"2021-11-23","15401"
"2021-11-24","15135"
"2021-11-25","15344"
"2021-11-26","15387"
"2021-11-27","13100"
"2021-11-28","15376"
"2021-11-29","18029"
"2021-11-30","16382"
"2021-12-01","18642"
"2021-12-02","14257"
"2021-12-03","15354"
"2021-12-04","13676"
"2021-12-05","15213"
"2021-12-06","17799"
"2021-12-07","15617"
"2021-12-08","14334"
"2021-12-09","13344"
"2021-12-10","16193"
"2021-12-11","11355"
"2021-12-12","13801"
"2021-12-13","16660"
"2021-12-14","14339"
"2021-12-15","14863"
"2021-12-16","12677"
"2021-12-17","13388"
"2021-12-18","12465"
"2021-12-19","13503"
"2021-12-20","19987"
"2021-12-21","15590"
"2021-12-22","16148"
"2021-12-23","16305"
"2021-12-24","19704"
"2021-12-25","18690"
"2021-12-26","24513"
"2021-12-27","31961"
"2021-12-28","30745"
"2021-12-29","27850"
"2021-12-30","28181"
"2021-12-31","34248"
"2022-01-01","56437"
"2022-01-02","53452"
"2022-01-03","81529"
"2022-01-04","70897"
"2022-01-05","77779"
"2022-01-06","73585"
"2022-01-07","83782"
"2022-01-08","82034"
"2022-01-09","85447"
"2022-01-10","132816"
"2022-01-11","97475"
"2022-01-12","93452"
"2022-01-13","85149"
"2022-01-14","87767"
"2022-01-15","86365"
"2022-01-16","78523"
"2022-01-17","104025"
"2022-01-18","88149"
"2022-01-19","75722"
"2022-01-20","77092"
"2022-01-21","64295"
"2022-01-22","58233"
"2022-01-23","56351"
"2022-01-24","71530"
"2022-01-25","60642"
"2022-01-26","51743"
"2022-01-27","44308"
"2022-01-28","44737"
"2022-01-29","35196"
"2022-01-30","36577"
"2022-01-31","45868"
"2022-02-01","43626"
"2022-02-02","31468"
"2022-02-03","26180"
"2022-02-04","24679"
"2022-02-05","22942"
"2022-02-06","19793"
"2022-02-07","23506"
"2022-02-08","26054"
"2022-02-09","21176"
"2022-02-10","22209"
"2022-02-11","18600"
"2022-02-12","16921"
"2022-02-13","16581"
"2022-02-14","21580"
"2022-02-15","20667"
"2022-02-16","16960"
